id,name,description,parameter_type,parameter_order
parameter_891,iLong,,,2
parameter_892,iOrientation,,,3
parameter_894,iCrv,,,1
parameter_895,iLong,,,2
parameter_896,iOrientation,,,3
parameter_898,iCrv,,,1
parameter_899,iPt,,,2
parameter_900,iLong,,,3
parameter_901,iOrientation,,,4
parameter_902,iDirection,,,5
parameter_904,iCrv,,,1
parameter_905,iPt,,,2
parameter_906,iLong,,,3
parameter_907,iOrientation,,,4
parameter_909,iCrv,,,1
parameter_910,iPt,,,2
parameter_911,iLong,,,3
parameter_912,iOrientation,,,4
parameter_914,iPlane,,,1
parameter_915,iX,,,2
parameter_916,iY,,,3
parameter_918,iPlane,,,1
parameter_919,iPt,,,2
parameter_920,iX,,,3
parameter_921,iY,,,4
parameter_923,iSurface,,,1
parameter_924,iDirection,,,2
parameter_925,iX,,,3
parameter_927,iSurface,,,1
parameter_928,iPt,,,2
parameter_929,iDirection,,,3
parameter_930,iX,,,4
parameter_932,iCurve,,,1
parameter_933,iDirection,,,2
parameter_936,iMode,,,1
parameter_938,iPartNumber,,,1
parameter_939,iElement,,,1
parameter_940,iSupport,,,2
parameter_942,iControllerIdentifier,,,1
parameter_943,iShapeToCopy,,,1
parameter_944,iNbOfCopiesInDir1,,,2
parameter_945,iNbOfCopiesInDir2,,,3
parameter_946,iStepInDir1,,,4
parameter_947,iStepInDir2,,,5
parameter_948,iShapeToCopyPositionAlongDir1,,,6
parameter_949,iShapeToCopyPositionAlongDir2,,,7
parameter_950,iDir1,,,8
parameter_951,direction,,,9
parameter_952,iDir2,,,10
parameter_953,direction,,,11
parameter_954,iIsReversedDir1,,,12
parameter_955,iIsReversedDir2,,,13
parameter_956,iRotationAngle,,,14
parameter_957,iShapeToCopy,,,1
parameter_958,iNbOfCopiesInDir1,,,2
parameter_959,iNbOfCopiesInDir2,,,3
parameter_960,iStepInDir1,,,4
parameter_961,iStepInDir2,,,5
parameter_962,iShapeToCopyPositionAlongDir1,,,6
parameter_963,iShapeToCopyPositionAlongDir2,,,7
parameter_964,iDir1,,,8
parameter_965,direction,,,9
parameter_966,iDir2,,,10
parameter_967,direction,,,11
parameter_968,iIsReversedDir1,,,12
parameter_969,iIsReversedDir2,,,13
parameter_970,iRotationAngle,,,14
